solidity,perimeter,equivalent_diameter,eccentricity,bbox_area,area,extent,major_axis_length,min_axis_length,min_major_axis_ratio,convex_area,type,chromosome_num
0.83933518,178.509668,39.28315578,0.961012301,2640,1212,0.459090909,77.90577677,21.54138516,0.276505621,1017,0,1
0.863380282,177.8233765,39.50938726,0.956381477,2706,1226,0.453067258,75.02738001,21.91704645,0.292120642,1059,0,1
0.850901526,183.6812409,39.5254971,0.93990818,2356,1227,0.520797963,71.01658586,24.24700236,0.341427317,1044,0,1
0.782636248,178.1665222,39.65414023,0.93421942,2646,1235,0.466742252,73.84830983,26.34160772,0.356698857,967,0,1
0.898982558,171.0538239,39.68623586,0.954396,1943,1237,0.636644364,74.32695154,22.18983502,0.298543591,1112,0,1
0.903413217,169.8233765,39.79836672,0.950951457,2820,1244,0.441134752,73.08140654,22.60701312,0.309340148,1124,0,1
0.901591896,163.9827561,39.83034613,0.934018613,1612,1246,0.772952854,68.00916013,24.29452752,0.357224343,1123,0,1
0.911337209,160.4091629,39.95800782,0.932149206,2650,1254,0.473207547,67.87951095,24.57743202,0.362074383,1143,0,1
0.7520908,186.9949494,40.03758967,0.927157668,2958,1259,0.425625423,73.9692403,27.7141589,0.374671401,947,0,1
0.872060858,168.6518036,40.06937816,0.939330267,2842,1261,0.443701619,70.52905653,24.19245836,0.343014065,1100,0,1
0.782447466,188.8944443,40.14873925,0.958201166,3339,1266,0.379155436,81.63096671,23.35423646,0.286095307,991,0,1
0.746022392,196.7523087,40.14873925,0.878918787,2379,1266,0.532156368,67.08861148,31.99935237,0.476971451,944,0,1
0.835968379,178.6101731,40.1962807,0.949993836,2310,1269,0.549350649,75.48278496,23.57090764,0.312268654,1061,0,1
0.656153051,235.0365799,40.1962807,0.954433992,4071,1269,0.311717023,92.73750361,27.67492143,0.298422109,833,0,1
0.851234156,185.3797257,40.30699268,0.96642869,3538,1276,0.360655738,82.02856444,21.07600812,0.256934987,1086,0,1
0.853626081,171.5807358,40.4174014,0.946368899,2891,1283,0.443791076,73.72610907,23.82002705,0.32308808,1095,0,1
0.841519319,177.9238816,40.44889139,0.945757836,3000,1285,0.428333333,75.08030651,24.39152384,0.32487246,1081,0,1
0.891184573,166.8528137,40.59029405,0.928924896,2379,1294,0.543926019,68.28730727,25.28461818,0.370268198,1153,0,1
0.894085282,175.4386002,40.68428945,0.939632318,2405,1300,0.540540541,70.73573832,24.20476372,0.342185779,1162,0,1
0.892150171,169.8233765,40.79367702,0.941328108,2772,1307,0.471500722,72.45757244,24.45390924,0.337492803,1166,0,1
0.800973828,177.6812409,40.93388866,0.872086121,2420,1316,0.543801653,65.00781227,31.81173069,0.489352427,1054,0,1
0.873258129,187.8233765,40.93388866,0.968283038,3195,1316,0.411893584,84.34868113,21.07501367,0.249855877,1149,0,1
0.758045977,190.6518036,40.98051927,0.906686065,3000,1319,0.439666667,73.05690666,30.81584833,0.421806092,1000,0,1
0.828517588,183.3380951,40.98051927,0.946018833,3078,1319,0.428525016,76.22147484,24.70426861,0.324111658,1093,0,1
0.892567568,169.6396103,41.01157689,0.933236368,2015,1321,0.655583127,70.02381373,25.15696324,0.359262969,1179,0,1
0.839796567,183.5807358,41.01157689,0.952706551,2240,1321,0.589732143,77.6540241,23.5984213,0.303891802,1109,0,1
0.885695187,166.2253967,41.07362167,0.906330585,1769,1325,0.749010741,64.779208,27.37370896,0.422569368,1174,0,1
0.834487099,185.0954544,41.08911822,0.935076471,3009,1326,0.440677966,74.53371359,26.41817953,0.354446039,1107,0,1
0.890374332,192.3675324,41.18197511,0.97216414,2812,1332,0.473684211,86.60222686,20.29097475,0.234300843,1186,0,1
0.839598997,209.3797257,41.30545957,0.978092973,4180,1340,0.320574163,93.57598096,19.47957416,0.208168527,1125,0,1
0.814545455,187.3380951,41.36706357,0.94360697,3127,1344,0.429804925,77.10875447,25.52822557,0.331067798,1095,0,1
0.865681234,188.8528137,41.41320643,0.956450237,1800,1347,0.748333333,79.261097,23.13595225,0.291895433,1166,0,1
0.52013809,265.4213562,41.55132757,0.914078156,4970,1356,0.272837022,101.0898187,40.99576969,0.405538067,705,0,1
0.7,251.3797257,41.6889911,0.986903956,5000,1365,0.273,121.7776082,19.64382007,0.161308966,956,0,1
0.755653613,214.2081528,41.76527477,0.944981601,2482,1370,0.551974214,81.42040557,26.63452665,0.327123483,1035,0,1
0.800465387,186.746212,41.85663166,0.931376444,2310,1376,0.595670996,72.62539525,26.43982546,0.364057577,1101,0,1
0.897335932,164.9533188,41.93261036,0.909847004,2074,1381,0.665863067,67.05300935,27.82323632,0.414943887,1239,0,1
0.852307692,201.6518036,41.99329434,0.966229022,3337,1385,0.415043452,84.9414628,21.88812741,0.257684842,1180,0,1
0.893521488,181.8233765,42.11439998,0.946024609,3150,1393,0.442222222,75.69694743,24.53298699,0.324094799,1245,0,1
0.74044586,207.5391052,42.14462202,0.842464517,2596,1395,0.537365177,68.05615946,36.66538062,0.538751833,1033,0,1
0.874139011,202.5512986,42.15972491,0.9737839,3850,1396,0.362597403,90.52623483,20.59246325,0.227475088,1220,0,1
0.85326087,202.0660172,42.41565132,0.972775853,3510,1413,0.402564103,91.21242533,21.1382979,0.231748008,1206,0,1
0.860097324,209.7228714,42.43065774,0.975782732,3900,1414,0.362564103,92.83978657,20.30796022,0.218741996,1216,0,1
0.885410144,208.8528137,42.43065774,0.977373536,2635,1414,0.536622391,93.88838524,19.85932897,0.211520615,1252,0,1
0.690360273,218.137085,42.49063043,0.905599035,3339,1418,0.424678047,79.60874451,33.76484456,0.424134871,979,0,1
0.902531646,197.2792206,42.61032258,0.972063433,3990,1426,0.357393484,89.37305808,20.97749264,0.234718304,1287,0,1
0.794003331,206.1665222,42.67004276,0.958749229,2310,1430,0.619047619,85.57505771,24.324989,0.284253258,1135,0,1
0.875228241,179.6396103,42.78923305,0.94144132,1863,1438,0.771873323,76.27006835,25.71650294,0.33717687,1259,0,1
0.773019272,200.6518036,42.87840835,0.949329781,2340,1444,0.617094017,84.97999418,26.70765436,0.314281668,1116,0,1
0.862686567,184.2670273,42.89325287,0.946232486,2898,1445,0.498619738,77.42515735,25.04606099,0.323487376,1247,0,1
0.89480198,201.6396103,42.90809226,0.974543626,2380,1446,0.607563025,92.39697992,20.7152135,0.22419795,1294,0,1
0.773283662,254.1492783,43.01182464,0.991139183,6076,1453,0.239137591,125.3232765,16.64636614,0.132827409,1124,0,1
